Currency,Date,Open,High,Low,Close,Volume,Market Cap
True,"Apr 01, 2015",244.22,247.54,241.16,247.27,"22,877,200","3,463,619,267"
True,"Mar 01, 2015",254.28,261.66,245.93,260.20,"25,213,700","3,615,181,538"
True,"Feb 01, 2015",216.87,231.57,212.01,226.97,"29,128,500","3,129,637,468"
True,"Jan 01, 2015",320.43,320.43,314.00,314.25,"8,036,550","4,297,535,768"
True,"Dec 01, 2014",378.25,383.66,376.67,379.24,"11,763,000","5,143,434,464"
True,"Nov 01, 2014",338.65,340.53,321.05,325.75,"16,677,200","4,382,113,991"
True,"Oct 01, 2014",387.43,391.38,380.78,383.61,"26,229,400","5,115,688,242"
True,"Sep 01, 2014",477.79,485.31,471.91,474.88,"20,432,000","6,276,309,535"
True,"Aug 01, 2014",586.20,597.92,583.63,594.92,"18,215,900","7,786,796,032"
True,"Jul 01, 2014",641.39,657.86,640.11,640.81,"38,446,300","8,311,317,901"
True,"Jun 01, 2014",623.69,671.51,619.91,630.23,"45,259,100","8,094,125,581"
True,"May 01, 2014",447.63,460.61,447.63,457.76,"12,871,800","5,821,425,472"
True,"Apr 01, 2014",457.00,495.34,457.00,478.38,"35,685,800","6,023,351,178"
True,"Mar 01, 2014",549.92,573.38,539.29,565.61,"18,668,100","7,049,084,308"
True,"Feb 01, 2014",828.61,853.52,827.11,832.58,"19,668,700","10,275,202,812"
True,"Jan 01, 2014",754.97,775.35,754.97,771.40,"22,489,400","9,403,308,145"
True,"Dec 01, 2013","1,128.92","1,133.08",801.82,955.85,0,"11,531,708,948"
True,"Nov 01, 2013",203.90,206.65,202.13,206.18,0,"2,460,742,837"
True,"Oct 01, 2013",132.68,134.63,131.55,132.18,0,"1,557,001,092"
True,"Sep 01, 2013",135.14,145.81,134.81,138.34,0,"1,610,215,347"
True,"Aug 01, 2013",106.21,108.00,103.01,104.00,0,"1,195,225,200"
True,"Jul 01, 2013",97.51,97.66,86.30,88.05,0,"1,000,065,296"
True,"Jun 01, 2013",128.82,129.78,127.20,129.30,0,"1,451,916,165"
True,"May 01, 2013",139.00,139.89,107.72,116.99,0,"1,298,954,594"
